municipality,iata_code,coordinates
"Terrace Bay, ON",YTJ,"-87.09943771360001, 48.81197898719999"
Thompson,YTH,"-97.86419677734375, 55.80110168457031"
Sullivan Bay,YTG,"-126.831069, 50.885359"
Alma,YTF,"-71.64189910889999, 48.50889968869999"
Cape Dorset,YTE,"-76.5267028809, 64.2300033569"
Thicket Portage,YTD,"-97.70780181884766, 55.31890106201172"
Hartley Bay,YTB,"-129.25, 53.416698"
Pembroke,YTA,"-77.25170135498047, 45.86439895629883"
Sachs Harbour,YSY,"-125.242996216, 71.9938964844"
Bella Bella,YSX,"-128.08299, 52.150002"
RCAF Station Saglek,YSV,"-62.655373, 58.475119"
Summerside,YSU,"-63.83359909057617, 46.44060134887695"
St. Theresa Point,YST,"-94.85189819335938, 53.84560012817383"
Qian Gorlos Mongol Autonomous County,YSQ,"124.550178, 44.938114"
Marathon,YSP,"-86.34439849853516, 48.75529861450195"
Postville,YSO,"-59.78507, 54.9105"
Salmon Arm,YSN,"-119.228996, 50.682802"
Fort Smith,YSM,"-111.96199798583984, 60.020301818847656"
St Leonard,YSL,"-67.83470153808594, 47.157501220703125"
Sanikiluaq,YSK,"-79.2466964722, 56.5377998352"
Saint John,YSJ,"-65.89029693603516, 45.31610107421875"
Frying Pan Island,YSI,"-80.137497, 45.173302"
Smiths Falls,YSH,"-75.94059753417969, 44.94580078125"
Lutselk'e,YSG,"-110.681998, 62.418303"
Stony Rapids,YSF,"-105.84100341796875, 59.250301361083984"
Squamish,YSE,"-123.162002563, 49.7817001343"
Suffield,YSD,"-111.18299865722656, 50.266700744628906"
Sherbrooke,YSC,"-71.69139862060547, 45.4385986328125"
Sudbury,YSB,"-80.79889678955078, 46.625"
Sable Island,YSA,"-59.960289, 43.930292"
Revelstoke,YRV,"-118.182998657, 50.9667015076"
Rankin Inlet,YRT,"-92.1157989502, 62.8114013672"
Red Sucker Lake,YRS,"-93.55719757080078, 54.167198181152344"
Big Bay,YRR,"-125.131616592, 50.4094474336"
Trois-RiviÃ¨res,YRQ,"-72.67939758300781, 46.35279846191406"
Ottawa,YRO,"-75.64610290530001, 45.4603004456"
Rivers Inlet,YRN,"-127.264044, 51.683985"
Rocky Mountain House,YRM,"-114.903999329, 52.4296989441"
Red Lake,YRL,"-93.79309844970703, 51.066898345947266"
Roberval,YRJ,"-72.2656021118164, 48.52000045776367"
RiviÃ¨re-du-Loup,YRI,"-69.58470153808594, 47.764400482177734"
Rigolet,YRG,"-58.45750045776367, 54.1796989440918"
Cartwright,YRF,"-57.041900634765625, 53.68280029296875"
Kimsquit Valley,YRD,"-126.964957, 52.82371"
Desolation Sound,YRC,"-124.843, 50.1234"
Resolute Bay,YRB,"-94.9693984985, 74.7169036865"
GamÃ¨tÃ¬,YRA,"-117.30999755859375, 64.11609649658203"
Quesnel,YQZ,"-122.51000213623047, 53.026100158691406"
Sydney,YQY,"-60.047798, 46.1614"
Gander,YQX,"-54.56809997558594, 48.9369010925293"
North Battleford,YQW,"-108.24400329589844, 52.76919937133789"
Yorkton,YQV,"-102.46199798583984, 51.26470184326172"
Grande Prairie,YQU,"-118.885002136, 55.1796989441"
Thunder Bay,YQT,"-89.32389831542969, 48.37189865112305"
St Thomas,YQS,"-81.11080169677734, 42.77000045776367"
Regina,YQR,"-104.66600036621094, 50.43190002441406"
Comox,YQQ,"-124.88700103759766, 49.71080017089844"
Nakina,YQN,"-86.69640350341797, 50.18280029296875"
Moncton,YQM,"-64.678596, 46.112202"
Lethbridge,YQL,"-112.800003052, 49.6302986145"
Kenora,YQK,"-94.36309814453125, 49.788299560546875"
Quadra Island,YQJ,"-125.235, 50.065"
Yarmouth,YQI,"-66.08809661865234, 43.826900482177734"
Watson Lake,YQH,"-128.82200622558594, 60.11640167236328"
Windsor,YQG,"-82.95559692382812, 42.27560043334961"
Red Deer,YQF,"-113.89399719238281, 52.18220138549805"
The Pas,YQD,"-101.09100341796875, 53.97140121459961"
Quaqtaq,YQC,"-69.6177978515625, 61.0463981628418"
Quebec,YQB,"-71.393303, 46.7911"
Muskoka,YQA,"-79.30329895019531, 44.974700927734375"
Burns Lake,YPZ,"-125.950996399, 54.3763999939"
Fort Chipewyan,YPY,"-111.11699676513672, 58.7672004699707"
Puvirnituq,YPX,"-77.28690338134766, 60.05059814453125"
Powell River,YPW,"-124.5, 49.83420181274414"
,YPT,"-124.024884, 49.623785"
Port Hawkesbury,YPS,"-61.3680992126, 45.6567001343"
Prince Rupert,YPR,"-130.445007324, 54.286098480199996"
Peterborough,YPQ,"-78.36329650878906, 44.22999954223633"
Peawanuck,YPO,"-85.44329833984375, 54.98809814453125"
Port-Menier,YPN,"-64.2885971069336, 49.83639907836914"
Pikangikum,YPM,"-93.97329711914062, 51.819698333740234"
Pickle Lake,YPL,"-90.21420288085938, 51.4463996887207"
Aupaluk,YPJ,"-69.59970092773438, 59.29669952392578"
Lax Kw'alaams,YPI,"-130.432999, 54.5667"
Inukjuak,YPH,"-78.07689666748047, 58.471900939941406"
Portage la Prairie,YPG,"-98.273817, 49.903099"
Peace River,YPE,"-117.446999, 56.226898"
Parry Sound,YPD,"-79.829697, 45.2575"
Paulatuk,YPC,"-124.075469971, 69.3608381154"
Port Alberni,YPB,"-124.931, 49.321899"
Prince Albert,YPA,"-105.672996521, 53.214199066199996"
Valcartier,YOY,"-71.502199173, 46.9021961734"
Ottawa,YOW,"-75.66919708251953, 45.3224983215332"
Yotvata,YOT,"35.0675, 29.901111"
Owen Sound,YOS,"-80.8375015259, 44.5903015137"
Rainbow Lake,YOP,"-119.40799713134766, 58.49140167236328"
Oshawa,YOO,"-78.894997, 43.922798"
Tashigang,YON,"91.514503, 27.256399"
Yola,YOL,"12.430399894714355, 9.257550239562988"
High Level,YOJ,"-117.16500091552734, 58.62139892578125"
ÃlÃ©onore Mine,YOI,"-76.611944, 52.221944"
Oxford House,YOH,"-95.27890014648438, 54.93330001831055"
Ogoki Post,YOG,"-85.9017028809, 51.6585998535"
Donnelly,YOE,"-117.094002, 55.7094"
Cold Lake,YOD,"-110.27899932861328, 54.404998779296875"
Old Crow,YOC,"-139.83900451660156, 67.57060241699219"
Ekati,YOA,"-110.614997864, 64.6988983154"
Yancheng,YNZ,"120.203056, 33.425833"
Gonghang-ro,YNY,"128.669006, 38.061298"
Snap Lake Mine,YNX,"-110.905998, 63.593601"
Yantai,YNT,"120.9872, 37.65722"
Yantai,YNT,"120.987222, 37.657222"
Nemiscau,YNS,"-76.1355972290039, 51.69110107421875"
Natuashish,YNP,"-61.184399, 55.913898"
North Spirit Lake,YNO,"-92.97109985351562, 52.4900016784668"
Matagami,YNM,"-77.80280303955078, 49.76169967651367"
Points North Landing,YNL,"-104.08200073242188, 58.27669906616211"
Yanji,YNJ,"129.451004028, 42.8828010559"
Hudson's Hope,YNH,"-121.975997925, 56.0355987549"
Youngstown/Warren,YNG,"-80.67910004, 41.26070023"
Norway House,YNE,"-97.84420013427734, 53.95830154418945"
Gatineau,YND,"-75.563599, 45.521702"
Wemindji,YNC,"-78.83110046386719, 53.01060104370117"
Yanbu,YNB,"38.0634, 24.144199"
Natashquan,YNA,"-61.78919982910156, 50.189998626708984"
MontrÃ©al,YMX,"-74.038696, 45.679501"
Maniwaki,YMW,"-75.9906005859, 46.2728004456"
,YMV,"-79.3569444444, 71.3241666667"
,YMU,"-124.983001709, 50.0666999817"
Chibougamau,YMT,"-74.5280990600586, 49.77190017700195"
Yurimaguas,YMS,"-76.11820220947266, -5.893770217895508"
